Authors,Title,Year,Link,Type,Conference Name,Country,Institution_STD,RQ1: What is the purpose?,Main Purpose,RQ2 :What methods are used?,RQ2: Categorization,RQ2:CATEGORIZATION2,Near OOD vs Far OOD?,compare with other OOD methods?,Models/Backbones,"ID",COVARIATE SHIFT,SEMANTIC SHIFT,RQ7: Metrics,RQ8: Applications,RQ9: Open-source implementations,Link to github,Are the Datasets open-source?,Link to dataset
"Borah, Jutika and Singh, Hidam Kumarjit and Sarmah, Kumaresh",A Deep Ensemble Approach for Lung Disease Classification in Chest X-Ray Across Data Distribution Shifts and Unseen Data Generalization,2024,https://doi.org/10.1007/s42979-024-03164-x,Article,SN Comput. Sci.,India,Gauhati University,Deep ensemble method (StackGen) for lung disease classification using probability estimates and meta-learning,New method,"Unseen classes are handled using StackGen along with a binary classifier that distinguishes between Normal and Diseased cases. StackGen is a stacked deep ensemble framework where multiple diverse pretrained CNNs (such as ResNet, DenseNet, EfficientNet, Xception, and others) are independently trained on different internal chest X-ray datasets. A Multilayer Perceptron (MLP) is then trained as a meta-model to combine the predictions of the best-performing CNNs for final decision-making.","Ensemble, unknown class handling",TRAINING,Near,no,"ResNet-50, ResNet-101, ResNet-152, ResNet-152V2, DenseNet-121, DenseNet-169, DenseNet-201, Xception, Inception-ResNetV2, EfficientNet-B0, EfficientNetV2-S, NASNet-Mobile","Shenzhen Tuberculosis Chest X-ray, Montgomery Tuberculosis Chest X-ray, Pneumonia Chest X-ray",Chest X-ray Tuberculosis Dataset (India),"COVID-19 Radiography Database, CheXpert","ID ACC, Sensitivity, Specificity, F1-SCORE, AUC, AUPR, TPR, FPR, Precision",Medical Image,No,-,Yes,https://aimi.stanford.edu/chexpert-chest-x-rays   https://www.kaggle.com/datasets/tawsifurrahman/covid19radiography-database      https://www.kaggle.com/datasets/raddar/chest-xrays-tuber culosis-from-india   https://www.kaggle.com/datasets/raddar/tuber culosis-chest-xrays-shenzhen  https://www.kaggle.com/datasets/raddar/tuber culosis-chest-xrays-montgomery   https://www.kaggle.com/datasets/paultimoth ymooney/chest-xray-pneumonia  
"C Chen, L Tang, L Tao, HY Zhou",activate and reject: towards safe domain generalization under category shift,2023,,Conference paper,ICCV,"China, USA",The University of Hong Kong; Xiamen University; University of Wisconsin–Madison; The Chinese University of Hong Kong,omain Generalization under Category Shift,New method,ART: unkown aware training : Unknown activation loss (LUA): Encourages the model to assign non-zero probability to an “unknown” class and Smoothed cross-entropy. Tes-time unkown rejection: improve predictions on unseen domains without training. Use KNN + prototype matching in feature space,"unknown class handling, Prototype, Domain generalization",HYBRID METHODS,far,no,"ResNet-18, ConvNet, Faster R-CNN, ResNet-50, DeepLab-v2, ResNet-101","PACS, Office-Home, Office-31, Digits, Pascal VOC, GTA5","PACS, Office-Home, Office-31, Digits, Pascal VOC, GTA5","PACS, Office-Home, Office-31, Digits, Pascal VOC, GTA5","H-Score, unknown accuracy, known class accuracy, Accuracy, iou","General, Object Detection",No,-,Yes,-
"K. Peng, D. Wen, K. Yang, A. Luo et al.",Advancing Open-Set Domain Generalization Using Evidential Bi-Level Hardest Domain Scheduler,2024,,Conference paper,NeurIPS,"Germany, China, Japan, Sweden",Karlsruhe Institute of Technology; Hunan University; Waseda University; KTH Royal Institute of Technology; RISE Research Institutes of Sweden; Mercedes-Benz Tech Innovation; University of Stuttgart,algorithm for meta-learning in OSDG,New method,"Learns an adaptive domain scheduler
Dynamically selects the “hardest domain” during training, uses  an evidential learning framework (for confidence estimation)
a follower network (to estimate domain reliability), bi-level optimization (scheduler and main model trained jointly)","Uncertainty and Bayesian evidential methods, Domain generalization",TRAINING,both,no,"ResNet-18,ResNet-50,ConvNet, ResNet-152, ViT","PACS, Digits-DG, Office-Home","PACS, Digits-DG, Office-Home","PACS, Digits-DG, Office-Home","H-Score, Open Set Classification Rate, known class accuracy",General,Yes,https://github.com/KPeng9510/EBiL-HaDS,Yes,-
"Pagliardini, M.; Jaggi, M.; Fleuret, F.; Karimireddy, S.P.",AGREE TO DISAGREE: DIVERSITY THROUGH DISAGREEMENT FOR BETTER TRANSFERABILITY,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174796096&partnerID=40&md5=6081b4e232c6031c3e63a32c7145cf8f,Conference paper,ICLR,Switzerland,EPFL,Ensemble of models agreement on the training data and disagreement on the OOD data,New method,"D-BAT trains multiple models sequentially: each fits the source data but is forced to disagree on unlabelled OOD samples. This ensures each model relies on different predictive features, producing an ensemble that generalizes better to distribution shifts.","Ensemble, Domain generalization",TRAINING,both,no,LeNet,"Colored MNIST, Waterbirds, Camelyon17, Office-Home","Synthetic Perturbations, Waterbirds, Camelyon17, Office-Home","Dominoes (M/F, M/C), Waterbirds, Camelyon17, Office-Home","OOD ACC, ID ACC",General,Yes,https://github.com/mpagli/Agree-to-Disagree ,Yes,https://github.com/mpagli/Agree-to-Disagree 
"Bai, H.; Zhang, J.; Nowak, R.",AHA: Human-Assisted Out-of-Distribution Generalization and Detection,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000467241&partnerID=40&md5=a8f905ce61b6fb3c75530f0496ca92b8,Conference paper,NeurIPS,USA,University of Wisconsin–Madison,OOD generalization and detection through a human-assisted framework by labeling data in the wild.,New method,"AHA: first uses half labeling budget to run a noisy binary search over OOD scores, repeatedly sampling points and asking humans whether they are known or unknown, until it finds the score where semantic OOD and non-semantic data are equally likely. It then spends the remaining budget labeling points tightly around this threshold (the maximum disambiguation region). These labels naturally contain many semantic OOD (helping detection) and many covariate OOD with class labels (helping generalization). Finally, it retrains the classifier with covariate OOD labels and retrains the OOD detector with semantic OOD labels using a joint loss.","Human in the loop, unknown class handling, Domain generalization",HYBRID METHODS,far,yes,WideResNet-40-2,CIFAR-10,CIFAR-10-C,"SVHN, Textures, Places365, LSUN (Crop), LSUN (Resize), PACS","ID ACC, OOD ACC, AUROC, FPR95",General,Yes,https://github.com/HaoyueBaiZJU/aha,Yes,-
"Cao, T.; Zhu, J.; Pang, G.",Anomaly Detection under Distribution Shift,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175136862&doi=10.1109%2FICCV51070.2023.00599&partnerID=40&md5=f449e0f15427f3b897b83b3b131f8384,Conference paper,ICCV,Singapore,Singapore Management University,Anomaly detection under distribution shift (they refer distribution shift as covariate shift),Method extension/modification,"Generalized Normality LearningGNL introduces a loss function that maintains the characteristics of normal data, enabling the model to learn representations that remain consistent despite distribution changes. By leveraging features at multiple levels, the model captures broad semantic patterns within the training data. Additionally, it improves anomaly detection performance through a test-time augmentation strategy based on matching feature distributions, which strengthens the model’s generalization ability","Domain generalization, ""Reconstruction, generative, diffusion""",HYBRID METHODS,far,no,GNL + RD4AD (AugMix + EFDM inference),"MVTec, CIFAR-10, MNIST","Brightness, Contrast, Defocus Blur, Gaussian Noise","MNIST-M, PACS",AUROC,"Industrial Defect inspection, General",Yes,https://github.com/mala-lab/ADShift.,Yes,https://github.com/mala-lab/ADShift.
Ji-Hun OhKianoush FalahkheirkhahRohit Bhargava,Are We Ready for Out-of-Distribution Detection in Digital Pathology?,2024,https://link.springer.com/chapter/10.1007/978-3-031-72117-5_8,Conference paper,MICCAI,USA,University of Illinois Urbana-Champaign,Detect OOD and misclassified covariate shift ID samples,Evaluation study,"Train classifiers and use OOD detectors to do a binary classification of  semantic shift and ID and correclty predicted covariate shift and misclassified. msp, mAHALANOBIS DISTANCE, MLS (Max Logit Score),Energy Score (in R+E),GEN (Generalized Entropy),KLM (KL-Matching), GradNorm (GrN), KNN (k-Nearest Neighbor), ViM (Virtual Logit Matching)","Post hoc detection scoring, Analysis/benchmark",POSTHOC INFERENCE,both,yes,"ResNet-50, ViT-B/16, ConvNeXt, Transformer",BreakHis,"Digitization, Blur, Color Distortion, Artifacts",NCT-CRC,"AUROC, ID-C ACC, ID ACC, PPR",Medical Image,Yes,https://github.com/jihunoh2/OODD4DP,Yes, https://web.inf.ufpr.br/vri/databases/breast-cancer-histopathological-database-breakhis/ https://zenodo.org/records/1214456 
"Z. Gao, S. Yan, X. He",ATTA: Anomaly-aware test-time adaptation for OOD detection,2023,,Conference paper,NeurIPS,China,ShanghaiTech University,novel dual-level test-time adaptation strategy for dense OOD segmentation.,New method,"Selective Batch Normalization: detect whether the input image has domain shift and adapt normalization accordingly. Compare test image feature statistics vs training BN stats
Compute distance using KL divergence: test BN stats and train them. Anomaly-aware Self-Training:Estimate OOD probability per pixel, Build a unified prediction. Pseudo-label selection cross-entropy on them, Only final classifier layers (and small parts) are updated. test-time adaptation framework that first detects and corrects domain shift using selective batch normalization, then improves pixel-wise OOD detection via GMM-calibrated anomaly estimation and selective entropy-based self-training.","Test-time adaptation and filtering, Uncertainty and Bayesian evidential methods",TTA,both,yes,"DeepLabV3+, WideResNet-38",RoadAnomaly,Fishyscapes,"FS Static-C, SMIYC","AUROC, Average Precision, FPR95",Autonomous Driving,Yes,https://github.com/gaozhitong/ATTA.,Yes,-
G. Carannante; N. C. Bouaynaya,Bayesian Deep Learning Detection of Anomalies and Failure: Application To Medical Images,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10285922,Conference paper,MLSP,USA,Rowan University,Comparison of different methods,Evaluation study,"Compare multiple Bayesian approaches:
BCNN, MC Dropout, Ensembles, VDP variants",Uncertainty and Bayesian evidential methods,POSTHOC INFERENCE,both,no,"exVDP, ENS-VDP, unsVDP, Ensemble","PathMNIST, Hippocampus",Noise Transformations,"Camelyon17, Malaria, CIFAR-10","TPR, Predictive Variance, Misclassification Rate, Dice",Medical Image,No,-,Yes,-
"Rezaei, M.; Näppi, J.J.; Bischl, B.; Yoshida, H.",Bayesian uncertainty estimation for detection of long-tailed and unseen conditions in medical images,2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176137790&doi=10.1117%2F1.JMI.10,5.054501&partnerID=40&md5=727786f1ff62427be5633298b215a08f",Article,Journal of Medical Imaging,"Germany, USA",LMU Munich; Munich Center for Machine Learning; Harvard Medical School,a deep Bayesian ensemble GAN with dynamic MC dropout,New method,"Bayesian ensemble GAN framework for medical image analysis that combines uncertainty estimation with adversarial learning, dynamic MC dropout mechanism to approximate Bayesian uncertainty by sampling multiple network configurations and computing predictive variance. This is integrated into a GAN architecture with one generator and multiple discriminators, where the generator learns from aggregated feedback (e.g., sum/average/max) across discriminators to improve robustness and segmentation quality.","Uncertainty and Bayesian evidential methods, ""Reconstruction, generative, diffusion"", Ensemble",TRAINING,Near,yes,Bayesian Ensemble GAN,"LITS, Glaucoma Detection","CHAOS Dataset, Crop, Horizontal Flip, Color Jitter",REFUGE 2020,"F1-SCORE, Precision, ECE, Negative Log-likelihood",Medical Image,No,-,Yes," https://www.kaggle.com/datasets/andrewmvd/liver-tumor-segmentation , https://www.kaggle.com/datasets/andrewmvd/liver-tumor-segmentation-part-2 , https://chaos.grand-challenge.org/ , https://www.kaggle.com/datasets/teamincribo/glaucoma-detection-dataset  , https://refuge.grand-challenge.org/Home2020/ "
Cosmin I. BerceaEsther Puyol-AntónBenedikt WiestlerDaniel RueckertJulia A. SchnabelAndrew P. King,Bias in Unsupervised Anomaly Detection in Brain MRI,2023,https://link.springer.com/chapter/10.1007/978-3-031-45249-9_12,Conference paper,"CLIP, EPIMI, FAIMI","Germany, UK",Technical University of Munich; King’s College London,bias in unsupervised anomaly detection (UAD) for brain MRI,Application/ Case Study,current UAD methods may not truly detect pathology but instead respond to dataset-specific artifacts,"Analysis/benchmark, Post hoc detection scoring",POSTHOC INFERENCE,Near,no,Variational Autoencoder,ADNI,ADNI,ADNI,"AUROC, AUPR, MAE",Medical Image,No,-,No,-
"Wang, H.; Li, Y.",Bridging OOD Detection and Generalization: A Graph-Theoretic View,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000477082&partnerID=40&md5=01f8d8690640b1e0a87b7ca8e271a1d6,Conference paper,NeurIPS,USA,University of Wisconsin–Madison; University of Illinois Urbana-Champaign,Graph theoretic framework for OOD generalization and detection,New method,"They construct a graph over augmented labeled and unlabeled data, learn its spectral structure via contrastive learning, and show that this representation simultaneously enables OOD generalization (through invariance) and OOD detection (through separability).",Contrastive and representation learning,TRAINING,far,yes,WideResNet-40-2,CIFAR-10,CIFAR-10-C,"SVHN, LSUN, Places365, Textures","OOD ACC, ID ACC, AUROC, FPR",General,Yes,https://github.com/deeplearning-wisc/graph-spectral-ood ,Yes,-
"J. Thagaard, S. Hauberg, et al.",Can you trust predictive uncertainty under real dataset shifts in DP?,2020,,Conference paper,NeurIPS,USA,Google Research; DeepMind,Compares existing uncertainity methods,Evaluation study,Evaluates existing predictive uncertainty methods,"Uncertainty and Bayesian evidential methods, Analysis/benchmark",POSTHOC INFERENCE,both,no,"ResNet-20, ResNet-50, LeNet","MNIST, CIFAR-10, ImageNet","Rotation, Translation","NotMNIST, SVHN","Negative Log-likelihood, Brier prior, ECE, Confidence-Rejection, Entropy",General,No,-,Yes,-
"Zhu, R. & Li, S.",CROSSMATCH: CROSS-CLASSIFIER CONSISTENCY REGULARIZATION FOR OPEN-SET SINGLE DOMAIN GENERALIZATION,2022,,Conference paper,ICLR,USA,University of Georgia,new training strategy,Method extension/modification,"Generates auxiliary “unknown-like” samples, adversarial augmentation with entropy based separation and consistency regularization between classifier helping sdg methods","Data augmentation and synthetic-shift methods, unknown class handling",TRAINING,both,no,"ConvNet, ResNet-18","Digits-DG, Office-31, Office-Home, PACS","Digits-DG, Office-31, Office-Home, PACS","Digits-DG, Office-31, Office-Home, PACS","Accuracy, H-Score, known class accuracy, unknown accuracy",General,No,-,Yes,-
"J. Tack, S. Mo, J. Jeong, and J. Shin",CSI: Novelty detection via contrastive learning,2020,,Conference paper,NeurIPS,Korea,KAIST,extends contrastive learning for OOD detection,Method extension/modification,"teaches a model that “real data should be close to itself under normal augmentations, but far from its strongly transformed (shifted) versions,” which makes OOD samples easier to detect.",Contrastive and representation learning,TRAINING,far,no,ResNet-18,"CIFAR-10, ImageNet-30","Rotation, Cutout, Sobel Filter, Gaussian Noise, Gaussian Blur, Permutation","SVHN, LSUN (Resize), ImageNet, CIFAR-100, CIFAR-10 (Interpolated), CUB-200, Dogs, Pets, Flowers, Food-101, Places365, Caltech-256, DTD","AUROC, ID ACC, ECE",General,Yes,https://github.com/alinlab/CSI,Yes,-
"Sinha, S.; Bharadhwaj, H.; Goyal, A.; Larochelle, H.; Garg, A.; Shkurti, F.",DIBS: Diversity Inducing Information Bottleneck in Model Ensembles,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130096782&doi=10.1609%2Faaai.v35i11.17163&partnerID=40&md5=9cc58d0ffccf720641d7bc0e9b890aaa,Conference paper,AAAI,Canada,University of Toronto; University of Montreal; Google Brain,new way to build neural network ensembles that improves both accuracy and uncertainty estimation by explicitly forcing ensemble members to be different in a structured way.,New architecture,"shared encoder with multiple stochastic decoder heads and adds two key ideas: an information bottleneck constraint that forces each model to only keep task-relevant information from the input (improving generalization), and an adversarial diversity loss that pushes different ensemble heads to represent different “modes” of the data distribution so they do not collapse into similar predictions",Ensemble,TRAINING,far,no,"CNN, VGG, ResNet","CIFAR-10, CIFAR-100, TinyImageNet, MIT Places365, SVHN","Translation, Rotation, Interpolation, Color Transformations",ImageNet,"AUPR, AUROC, ID ACC",General,No,-,Yes,-
"Sastry, C.S.; Dumpala, S.H.; Oore, S.",DiffAug: A Diffuse-and-Denoise Augmentation for Training Robust Classifiers,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000489593&partnerID=40&md5=f97f05180c0f870cfeb6d6f4ba10fd50,Conference paper,NeurIPS,Canada,Dalhousie University,data augmentation strategy,New method,"data augmentation strategy where each training image is first perturbed via a single forward diffusion step (adding noise) and then restored using a single reverse diffusion (one-step denoising) from a pretrained diffusion model. The resulting “partially denoised” images are used as additional training samples, encouraging the classifier to learn from both clean and imperfect data. It increases accuracy on detection OOD for MSP, ASH, REACT, SCALE",Data augmentation and synthetic-shift methods,TRAINING,both,no,"ResNet-50, ViT",ImageNet-1K,"ImageNet-C, ImageNet-R, ImageNet-S, ImageNet-Sketch, ImageNet-A, ImageNet-D","ImageNet-C, ImageNet-R, ImageNet-S, ImageNet-Sketch, ImageNet-A, ImageNet-D","AUROC, FPR@TPR95, Precision, Recall, Coverage, DENSITY, FID (Fréchet Inception Distance), IS (Inception Score)",General,Yes,https://github.com/oore-lab/diffaug,Yes,-
Hongjun Wang · Sagar Vaze · Kai Han,Dissecting Out-of-Distribution Detection and Open-Set Recognition: A Critical Analysis of Methods and Benchmarks,,,Article,iNTERNATIONAL jOURNAL OF cOMPUTER vISION,"China, UK",The University of Hong Kong; University of Oxford,"studies existing methods, benchmarks, and metrics for OOD detection and open-set recognition.",Evaluation study,"cross-evaluate a wide range of existing methods (including training strategies like Outlier Exposure and ARPL, and scoring rules like MSP, Energy, and MLS) across both tasks and find that performance trends are strongly correlated between OOD and OSR settings","Analysis/benchmark, Post hoc detection scoring, Energy Based",POSTHOC INFERENCE,far,yes,"ResNet-18, ResNet-50",CIFAR-10,"CIFAR-100, CIFAR+10, CIFAR+50, TinyImageNet","SVHN, Textures, LSUN (Crop/Resize), iSUN, Places365",AUROC,General,Yes,https://github.com/VisualAI/Dissect-OOD-OSR,Yes,-
"Vahidi, Amihossein and Wimmer, Lisa and Guenduez, Huseyin Anil and Bischl, Bernd and Hullermeier, Eyke and Rezaei, Mina",Diversified Ensemble of Independent Sub-networks for Robust Self-supervised Representation Learning,2024,https://link.springer.com/chapter/10.1007/978-3-031-70341-6_3,Conference paper,ECML PKDD,Germany,Institute of Statistics; Institute of Informatics,self-supervised learning framework,New method,"single backbone and attaches multiple lightweight projection sub-networks whose outputs are combined. compute self-supervised objectives  ) using the mean embedding across sub-networks, while explicitly encouraging diversity among them via a novel variance-based diversity regularization loss that prevents collapse and enforces disagreement.","Ensemble, Contrastive and representation learning",TRAINING,far,no,"SimCLR, DINO, SCD, Self-GenomeNet, SSL Ensemble, BatchEnsemble","CIFAR-10, CIFAR-100, SVHN, ImageNet","CIFAR-10, CIFAR-100, SVHN, ImageNet","CIFAR-10, CIFAR-100, SVHN, ImageNet","AUROC, Top@1 ACC, Negative Log-likelihood, ECE, Thresholded adaptive calibration error (TACE)",General,No,-,Yes,-
"Roy, Abhijit Guha and Ren, Jie and Azizi, Shekoofeh and Loh, Aaron and Natarajan, Vivek and Mustafa, Basil and Pawlowski, Nick and Freyberg, Jan and Liu, Yuan and Beaver, Zach and Nam Vo and Bui, Peggy and Winter, Samantha and MacWilliams, Patricia and Corrado, Greg S. and Telang, Umesh and Liu, Yun and Cemgil, Taylan and Karthikesalingam, Alan and Lakshminarayanan, Balaji and Winkens, Jim",Does your dermatology classifier know what it doesn't know? Detecting the long-tail of unseen conditions,2022,,Article,MEDICAL IMAGE ANALYSIS,USA,Google Health; Google Research; Brain Team; DeepMind,new loss,New method,"Hierarchical Outlier Detection (HOD) loss that improves a classifier’s ability to recognize when a skin condition is “unknown” or not represented in training data. assigns multiple fine-grained abstention classes and combines this with a coarse inlier-vs-outlier objective, improving robustness to the “long tail” of rare dermatological diseases. ","Uncertainty and Bayesian evidential methods, unknown class handling",TRAINING,both,yes,ResNet-101,Custom Dermatology Dataset,Custom Dermatology Dataset,Custom Dermatology Dataset,"AUROC, AUPR IN, FPR@TPR95, Top@1 ACC",Medical Image,No,-,No,-
P. Jiao; N. Zhao; J. Chen; Y. -G. Jiang,Domain Expansion and Boundary Growth for Open-Set Single-Source Domain Generalization,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10855521,Article,IEEE Transactions on Multimedia,"China, Singapore",Fudan University; University of Technology and Design,open-set single-source domain generalization (OS-SDG),New method,"domain expansion, it augments source data using background suppression (removing irrelevant context) and global style augmentation, then uses knowledge distillation to enforce consistency and learn domain-invariant representations. For boundary growth, it strengthens open-set recognition by training multi-binary classifiers with edge maps as an additional modality, which helps push class boundaries apart and better separate known from unknown classes.","Data augmentation and synthetic-shift methods, unknown class handling, Domain generalization",TRAINING,Near,no,ResNet-18,"PACS, Office-31, Office-Home, DomainNet","PACS, Office-31, Office-Home, DomainNet","PACS, Office-31, Office-Home, DomainNet","H-Score, known class accuracy, unknown accuracy, Accuracy",General,No,-,Yes,-
"Zhou, J.; Zhou, Z.; Zhang, P.",DynaOOD-Net: Dynamic Progressive Feature Fusion and Energy Balancing for Robust Out-of-Distribution Detection,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001845083&doi=10.1109%2FACCESS.2025.3552796&partnerID=40&md5=d0f5689e67cdd88e301a4e27be43faa5,Article,IEEE Access,China,Shanghai University,Dynamic Progressive Feature Pyramid Network (DP-FPN),New architecture,"enhances multi-scale feature fusion through dynamic, multi-branch convolution and progressive refinement, improving representation of complex and small objects.proposes a Balanced Energy Constraint Loss (BECL) that uses energy-based modeling to better separate in-distribution and out-of-distribution samples while addressing class imbalance by dynamically reweighting category constraints.",Energy Based,TRAINING,Near,yes,ResNet-50,"Pascal VOC (Train, Pretest, Test)","COCO-Mixed, COCO-ID","COCO-OOD, COCO-OOD-OD, OpenImages-OOD, Objects365-OOD","mAP ID, Unknown Precision, Unknown Recall, Unknown F1, Absolute Open-Set Error, Wilderness Impact, OOD ACC",Object Detection,No,-,Yes,-
"Y. Wang, B. Li, et al.",Energy-based open-world uncertainty modeling for confidence calibration,2021,,Conference paper,ICCV,"Singapore, Canada",Microsoft Research Asia; MILA; Nanyang Technological University,Modifies architecture and adds energy based softmax,New method,"New classifier head architecture with k classes +1,  with an energy-based objective that jointly optimizes standard classification loss for in-distribution data and an additional term that encourages the extra dimension to capture whether an input deviates from the training distribution ","Energy Based, unknown class handling",TRAINING,far,no,"MLP, VGG-11, ResNet-50",CIFAR-100,CIFAR-100-C,"CIFAR-10, SVHN","ECE, Negative Log-likelihood, Accuracy",General,No,-,Yes,-
"Farag, M.; Emam, A.; Leonhardt, J.; Roscher, R.",Enhancing decision support in crop production: Analyzing conformal prediction for uncertainty quantification,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007465365&doi=10.1016%2Fj.compag.2025.110559&partnerID=40&md5=b907237d217f6668769ada587bd8d41d,Article,Computers and Electronics in Agriculture,Germany,University of Bonn; Forschungszentrum Jülich GmbH,Using Conformal Prediction for Uncertainity Quantification,Application/ Case Study,"A trained model outputs probabilities, A separate dataset (calibration set) is used to measure how wrong the model usually is.
For each calibration sample we compute a non-conformity score. Using all calibration scores and the chosen error level α, we compute a quantile threshold 
This threshold defines how much uncertainty we allow. or a new test image: Compute the score for each possible class. Include a class in the prediction set if its score ≤ threshold. They test softmax, bayesian, deep ensembles and ICP for OOD detection","Uncertainty and Bayesian evidential methods, Post hoc detection scoring",POSTHOC INFERENCE,Near,no,"ResNet-18, ViT-B/16",DND-SB,DND-SB (Crop Variations),GrowliFlower,"AUROC, Confidence-Rejection, Coverage",Agriculture,Yes,https://github.com/MohamedFarag21/PhD_codes/tree/main/Conformal_prediction_in_agriculture,Yes,"https://github.com/jh-yi/DND-SB, https://rs.ipb.uni-bonn.de/data/growliflower/index.html "
"Pan, D.; Sheng, B.; Li, X.",Enhancing Out-of-Distribution Detection Under Covariate Shifts: A Full-Spectrum Contrastive Denoising Framework,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004796965&doi=10.3390%2Felectronics14091881&partnerID=40&md5=e0f7380f745a9c6c3ac2cf11b1303471,Article,Electronics (Switzerland),China,Shanghai University,New method for OOD detection under covariate shifts.,New method,Uses a dual-level pertubation augmentation module to simulate covariate shifts and feature contrastive denoising module to differentiate ID from OOD.,"Contrastive and representation learning, Data augmentation and synthetic-shift methods",TRAINING,both,yes,"LeNet-5, ResNet-18",Digits Objects COVID,Digits Objects COVID,Digits Objects COVID,"AUPR, AUROC, FPR95, ID ACC","Object Detection, General, Medical Image",No,-,Yes,
H. Wang; C. Zhao; F. Chen,Feature-Space Semantic Invariance: Enhanced OOD Detection for Open-Set Domain Generalization,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825325,Conference paper,IEEE International Conference on Big Data,USA,University of Texas at Dallas; Baylor University,New unified framework for open set domain generalization,Method extension/modification,"Feature-space Semantic Invariance(FSI): Regularizes a feature extractor to be domain-invariant in feature space, modifying domain generalization methods for open set. OOD detectors as plug-in detectors and mixup to generate synthetic OOD and generative model to simulate domain shift","Data augmentation and synthetic-shift methods, Domain generalization",TRAINING,both,no,feature extractor,Colored MNIST,Colored MNIST,Synthetic OOD,"AUROC, AUPR, ID ACC",General,No,-,Yes,-
Liang H.; Cao S.; Lai Y.; Zheng J.,Federated Open-Set Domain Generalization with Adaptive Adjustment Boundary and Weights,2025,,Conference paper,ICME,China,Sun Yat-Sen University,Federated Open-Set Domain Generalization (FedOSDG),Method extension/modification,AABAW improves federated open-set domain generalization by sharpening class boundaries for unknown detection (SCB) and redesigning federated aggregation to preserve model diversity for better domain generalization (AAW).,"Federated learning, unknown class handling, Domain generalization",TRAINING,Near,no,"ResNet-50, ResNet-18","PACS, Office-Home, DomainNet-126","PACS, Office-Home, DomainNet-126","PACS, Office-Home, DomainNet-126","Accuracy, H-Score, unknown accuracy",Federated Learning,No,,Yes,
"Bai, H.; Canal, G.; Du, X.; Kwon, J.; Nowak, R.; Li, Y.",Feed Two Birds with One Scone: Exploiting Wild Data for Both Out-of-Distribution Generalization and Detection,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174407848&partnerID=40&md5=b740b0287664cc4905b4d3fbc0872401,Conference paper,International Conference on Machine Learning,USA,University of Wisconsin–Madison,New method,New method,SCONE: Energy-based OOD detector and trained with unlabeled data with covariate and semantic shift (PWild)  similar Outlier Exposure,Energy Based,TRAINING,far,yes,WideResNet-40-2,"CIFAR-10, ImageNet-100","CIFAR-10-C, ImageNet-100-C, PACS","SVHN, Textures, Places365, LSUN (Crop/Resize)","FPR95, AUROC, OOD ACC, ID ACC",General ,Yes,https://github.com/ deeplearning-wisc/scone ,Yes,-
Teresa AraújoGuilherme ArestaUrsula Schmidt-ErfurthHrvoje Bogunović,Few-shot out-of-distribution detection for automated screening in retinal OCT images using deep learning,2023,https://link.springer.com/article/10.1038/s41598-023-43018-9,Article,SCientific Reports,Austria,Medical University of Vienna,few-shot OOD detection methods to enhance clinical applicability without degrading AMD classification performance,Evaluation study,"They preprocess data and apply augmentations. Fine tune an EfficientNetV2 on inlier classes, use few shot outlier exposure where few near ood images are shown. They evaluate : oftmax maximum probability (MP)
Entropy (H), Dirichlet-based evidential uncertainty, MC Dropout (test-time dropout for uncertainty), Model ensembles, Test-time augmentation, ODIN, Few-shot Outlier Exposure","Uncertainty and Bayesian evidential methods, Post hoc detection scoring",POSTHOC INFERENCE,both,yes,EfficientNetV2-B0,OCT Multi-Center Dataset,OCT Multi-Center Dataset,OCT Multi-Center Dataset,"Maximum Probability, Entropy, Dirichlet Uncertainity, Mahalanobis Distance, Cosine Distance, Mean of class variances, Mean of class Entropies, Reject Bucket class probability",Medical Image,No,-,No,-
